creative_id,ad_id,product_id,product_category,advertiser_id,industry
71691,66210,\N,18,14681,326
90171,82421,\N,5,367,217
122032,109959,1334,2,11411,\N
209778,188507,136,2,9702,6
821396,724607,\N,5,7293,326
877468,773445,\N,5,29455,106
1683713,1458878,\N,5,14668,326
1940159,1678901,\N,5,17189,73
2087846,1803758,\N,18,44865,64
2456345,2116146,64,2,188,245
2456345,2116146,64,2,188,245
3068256,2638858,1454,2,23575,238
3592928,3093461,1261,2,10988,6
13069,14495,1400,2,768,317
15558,16946,107,2,17951,317
22013,22877,1323,2,818,319
39714,38066,129,2,18562,6
63441,58788,87,2,22885,318
96192,87644,\N,18,25260,47
155822,139702,80,2,10686,238
157180,140916,1268,2,2302,5
396652,354247,2031,2,38785,238
441462,392680,87,2,22885,318
513298,456635,1064,2,33664,242
609050,541125,129,2,25932,6
625944,555841,11119,8,20193,328
647980,575249,154,2,14002,319
738378,653169,1064,2,33664,242
769749,680028,\N,18,34503,47
1074235,942883,111,2,17284,242
1145367,1003786,\N,18,27843,47
1145367,1003786,\N,18,27843,47
1252062,1095314,129,2,20033,6
1266180,1107111,\N,18,34505,47
1416518,1235723,2065,2,25896,238
1657530,1436687,1261,2,918,6
1662244,1440744,\N,18,13732,6
1696925,1469873,\N,18,26006,47
1696925,1469873,\N,18,26006,47
2085566,1801889,129,2,42272,6
2085566,1801889,129,2,42272,6
2108551,1821340,15872,8,45025,289
2143574,1851077,129,2,42272,6
2270719,1959296,1064,2,38517,242
2369339,2042824,\N,18,14938,36
2489057,2143842,80,2,10686,238
2496722,2150246,\N,18,29097,36
2552139,2197677,111,2,52049,242
2624965,2259448,2103,2,52193,322
2785305,2394728,129,2,42272,6
2862407,2461002,\N,18,36700,36
2995416,2576212,2637,2,40936,250
3246898,2793270,\N,18,11989,21
3443654,2964754,\N,18,14681,207
3574990,3078081,128,2,16473,317
3765766,3238255,1849,2,57597,317
3766271,3238685,1849,2,57597,317
4194247,3598073,\N,18,25704,207
66009,60437,\N,18,9970,205
72533,66929,\N,18,14289,205
392052,350235,\N,18,8371,54
593522,527601,1674,2,17018,322
599128,532510,1261,2,918,6
661347,586668,36256,17,32974,\N
710859,629278,1674,2,18492,322
726940,643108,\N,18,9058,6
808612,713448,40905,17,9877,\N
825434,728308,35985,17,14186,\N
